Código ;Nombre;Código ;Nombre;Código ;Nombre;"Tipo";Longitud;Latitud;altitude
05;ANTIOQUIA;05001;MEDELLÍN;05001000;MEDELLÍN. DISTRITO ESPECIAL DE CIENCIA. TECNOLOGÍA E INNOVACIÓN;CM;-75.578661;6.250063;3125
05;ANTIOQUIA;05001;MEDELLÍN;05001001;PALMITAS;CP;-75.690039;6.343329;3116.913818359375
05;ANTIOQUIA;05001;MEDELLÍN;05001004;SANTA ELENA;CP;-75.501293;6.210599;3121.271240234375
05;ANTIOQUIA;05001;MEDELLÍN;05001009;ALTAVISTA;CP;-75.644721;6.220472;3118.512451171875
05;ANTIOQUIA;05001;MEDELLÍN;05001010;AGUAS FRÍAS;CP;-75.635261;6.232665;3120.3134765625
05;ANTIOQUIA;05001;MEDELLÍN;05001013;SAN JOSÉ DEL MANZANILLO;CP;-75.613254;6.205992;3123.007080078125
05;ANTIOQUIA;05001;MEDELLÍN;05001014;BARRO BLANCO;CP;-75.477868;6.234506;3121.003173828125
05;ANTIOQUIA;05001;MEDELLÍN;05001015;EL CERRO;CP;-75.491056;6.201982;3120
05;ANTIOQUIA;05001;MEDELLÍN;05001017;EL PATIO;CP;-75.65111;6.277841;3121.162353515625
05;ANTIOQUIA;05001;MEDELLÍN;05001018;EL PLACER;CP;-75.492971;6.224788;3120.98095703125
05;ANTIOQUIA;05001;MEDELLÍN;05001019;EL PLAN;CP;-75.518361;6.204348;3123.961669921875
05;ANTIOQUIA;05001;MEDELLÍN;05001022;LA ALDEA;CP;-75.703423;6.342421;3113.676513671875
05;ANTIOQUIA;05001;MEDELLÍN;05001023;LA CUCHILLA;CP;-75.65356;6.293513;3122.255126953125
05;ANTIOQUIA;05001;MEDELLÍN;05001025;LA PALMA;CP;-75.648077;6.273406;3120.84033203125
05;ANTIOQUIA;05001;MEDELLÍN;05001027;LAS PLAYAS;CP;-75.649303;6.284456;3121.636474609375
05;ANTIOQUIA;05001;MEDELLÍN;05001029;PIEDRA GORDA;CP;-75.498185;6.234886;3122.22412109375
05;ANTIOQUIA;05001;MEDELLÍN;05001031;POTRERITO;CP;-75.668067;6.183065;3114.092041015625
05;ANTIOQUIA;05001;MEDELLÍN;05001032;TRAVESÍAS;CP;-75.643128;6.286948;3121.792236328125
05;ANTIOQUIA;05001;MEDELLÍN;05001033;URQUITA;CP;-75.698148;6.365318;3114.944580078125
05;ANTIOQUIA;05001;MEDELLÍN;05001035;BOQUERÓN;CP;-75.657851;6.315868;3123.5888671875
05;ANTIOQUIA;05001;MEDELLÍN;05001039;EL LLANO 1;CP;-75.649476;6.294584;3122.566650390625
05;ANTIOQUIA;05001;MEDELLÍN;05001040;EL LLANO;CP;-75.505515;6.195631;3121.6142578125
05;ANTIOQUIA;05001;MEDELLÍN;05001048;LA VERDE;CP;-75.639004;6.189958;3119.09228515625
05;ANTIOQUIA;05001;MEDELLÍN;05001052;MATASANO;CP;-75.493578;6.258862;3123.15234375
05;ANTIOQUIA;05001;MEDELLÍN;05001054;MATASANO 2;CP;-75.504674;6.266006;3125.909912109375
05;ANTIOQUIA;05001;MEDELLÍN;05001055;MAZO;CP;-75.498723;6.24832;3123.35205078125
05;ANTIOQUIA;05001;MEDELLÍN;05001057;MEDIA LUNA;CP;-75.516161;6.241195;3125.889404296875
05;ANTIOQUIA;05001;MEDELLÍN;05001066;LAS CAMELIAS;CP;-75.643377;6.196729;3118.09228515625
05;ANTIOQUIA;05002;ABEJORRAL;05002000;ABEJORRAL;CM;-75.428739;5.789315;3113.87353515625
05;ANTIOQUIA;05002;ABEJORRAL;05002002;PANTANILLO;CP;-75.490787;5.730256;3107.73974609375
05;ANTIOQUIA;05002;ABEJORRAL;05002004;NARANJAL - LAS FONDAS;CP;-75.514084;5.763384;3107
05;ANTIOQUIA;05002;ABEJORRAL;05002016;LAS CANOAS;CP;-75.429071;5.782188;3113.99169921875
05;ANTIOQUIA;05004;ABRIAQUÍ;05004000;ABRIAQUÍ;CM;-76.064703;6.631806;3102.88671875
